,text
1078,"<s>[INST]Một cái bánh pizza có giá 64 nghìn đồng. \frac{1}{8} cái bánh có giá bao nhiêu nghìn đồng?, các đáp án
7 nghìn đồng
9 nghìn đồng 
8 nghìn đồng
10 nghìn đồng[/INST]</s>
Lời giải:Giá tiền của $\frac{1}{8}$ cái bánh: $\frac{1}{8}$ ${\times}$ 64 = 8
Chọn đáp án:8 nghìn đồng"
1079,"<s>[INST]Một chiếc ca nô xuôi dòng từ A đến B với vận tốc 25 km/giờ. Nếu vận tốc dòng nước là 2,5 km/giờ thì vận tốc của ca nô khi ngược dòng là:, các đáp án
22,5 km/giờ
22 km/giờ
20 km/giờ
27,5 km/giờ[/INST]</s>
Lời giải:Vận tốc thực của ca nô là: 25 – 2,5 = 22,5 (km/giờ)
 Vận tốc của ca nô khi ngược dòng là: 22,5 – 2,5 = 20 (km/giờ).
Chọn đáp án:20 km/giờ"
1080,"<s>[INST]Một chiếc máy khâu được phát minh vào năm 1890. Hỏi chiếc máy khâu đó được phát minh vào thế kỉ nào?, các đáp án
Thế kỉ XVIII
hế kì XX
Thế kỉ XIX
hế kỉ XXI[/INST]</s>
Lời giải:nan
Chọn đáp án:Thế kỉ XIX"
1081,"<s>[INST]Một chiếc tàu ngược dòng với vận tốc 15km/giờ. Biết vận tốc của dòng nước là 3km/ giờ. Tính vận tốc xuôi dòng của chiếc tàu?, các đáp án
21km/giờ
20km/giờ
18km/giờ
12km/giờ[/INST]</s>
Lời giải:Vận tốc thực của Chiếc tàu là: 15 + 3 = 18 (km/giờ)
 Vận tốc của của chiếc tàu khi xuôi dòng là: 18 + 3 = 21 (km/giờ).
Chọn đáp án:21km/giờ"
1082,"<s>[INST]Một chiếc tàu xuôi dòng từ A đến B với vận tốc 12km/giờ, sau đó lại ngược dòng từ B về A với vận tốc 8km/giờ. Tính thời gian chiều tàu xuôi dòng từ A đến B rồi từ B về A biết độ dài AB là 24km., các đáp án
5 giờ
4 giờ
3 giờ
6 giờ[/INST]</s>
Lời giải:nan
Chọn đáp án:5 giờ"
1083,"<s>[INST]“m3 = ……..m3”. Số thập phân thích hợp điền vào chỗ chấm là:, các đáp án
1,4
0,25
2,5
0,14[/INST]</s>
Lời giải:m3 = 0,25m3. Số thập phân thích hợp điền vào chỗ chấm là: 0,25.
Chọn đáp án:0,25"
1084,"<s>[INST]Một chú chuột túi khi mới sinh ra chỉ nặng 1 g nhưng khi trưởng thành nặng đến 90 kg. Vậy chuột túi trưởng thành nặng gấp chuột túi lúc mới sinh số lần là:, các đáp án
90 lần
900 lần
9 000 lần
90 000 lần[/INST]</s>
Lời giải:Đổi 90 kg = 90000 g 
 Chuột túi trưởng thành nặng gấp chuột túi lúc mới sinh số lần là: $\frac{90000}{1}$ = 90000 (lần)
 Đáp số: 90000 lần
Chọn đáp án:90000 lần"
1085,"<s>[INST]Một cốc trà sữa cỡ lớn có giá là 20000 đồng, một cốc trà sữa cỡ nhỏ có giá là 14500 đồng. An mua 1 cốc cỡ to và 2 cốc cỡ nhỏ. Vậy số tiền An cần trả là:, các đáp án
34 500 đồng
49 000 đồng
48 000 đồng
35 000 đồng[/INST]</s>
Lời giải:Số tiền An cần trả: 20000 + 14500 x 2 = 49000 đồng
Chọn đáp án:49000 đồng"
1086,"<s>[INST]Một con thỏ có thể chạy với vận tốc 5,5m/giây. Một con ngựa có thể chạy với vận tốc 25,2km/giờ. Hỏi trong 1 phút, con nào di chuyển được quãng đường dài hơn và dài hơn bao nhiêu mét?, các đáp án
Con thỏ; 9m
Con ngựa; 9m
Con ngựa; 90m
Con thỏ; 90m[/INST]</s>
Lời giải:nan
Chọn đáp án:Con ngựa; 90m"
1087,"<s>[INST]Một công ty, tuần một sản xuất được 3692 sản phẩm. Tuần hai, họ chỉ sản xuất được 2978 sản phẩm. Cả hai tuần, công ty đó sản xuất được số sản phẩm là:, các đáp án
6570 sản phẩm
6660 sản phẩm
6670 sản phẩm
6560 sản phẩm[/INST]</s>
Lời giải:Số sản phẩm công ty sản xuất sau 2 tuần: 3692 + 2978 = 6670
Chọn đáp án:6670 sản phẩm"
1088,"<s>[INST]Một cửa hàng bán gạo. Buổi sáng bán được $\frac{1}{2}$ số gạo, buổi chiều bán được $\frac{1}{3}$ số gạo. Cửa hàng còn lại số phần gạo là:, các đáp án
$\frac{2}{3}$
$\frac{3}{4}$
$\frac{2}{5}$
$\frac{1}{6}$[/INST]</s>
Lời giải:Số gạo cửa hàng còn lại: 1 - $\frac{1}{2}$ - $\frac{1}{3}$ = $\frac{1}{6}$
Chọn đáp án:$\frac{1}{6}$"
1089,"<s>[INST]Một cửa hàng bỏ ra 15000000 đồng tiền vốn để kinh doanh. Biết cửa hàng đó đã thu được tiền lãi bằng 20% tiền vốn. Vậy số tiền lãi là:, các đáp án
300 000 đồng
3 000 000 đồng
5 000 000 đồng
7 000 000 đồng[/INST]</s>
Lời giải:Vậy số tiền lãi là:
 15000000 ${\times}$ $\frac{20}{100}$ = 3000000 (đồng)
 Đáp số: 3000000 (đồng)
Chọn đáp án:3000000 đồng"
1090,"<s>[INST]Một cửa hàng có 10 hộp táo. Mỗi thùng táo gồm 8 quả táo. Cửa hàng đã bán đi 25 quả táo. Số quả táo cửa hàng còn lại là:, các đáp án
55 quả táo
50 quả táo
45 quả táo
40 quả táo[/INST]</s>
Lời giải:Tổng số quả táo: 10 x 8 = 80. Số quả táo còn lại : 80 - 25 = 55 quả
Chọn đáp án:55 quả táo"
1091,"<s>[INST]Một cửa hàng có 12 cuộn dây điện, mỗi cuộn dài 150m. Cửa hàng đã bán được số dây điện. Hỏi cửa hàng còn lại bao nhiêu mét dây điện?, các đáp án
1250m
1200m
600m
1300m[/INST]</s>
Lời giải:nan
Chọn đáp án:1200m"
1092,"<s>[INST]Một cửa hàng có 2150 l dầu. Sau khi nhập thêm thì lượng dầu trong cửa hàng được gấp lên 4 lần. Vậy lượng dầu cửa hàng đã nhập về là:, các đáp án
6 250 l
6 450 l
6 350 l
6 550 l[/INST]</s>
Lời giải:Cửa hàng có số lít dầu là: 2150 ${\times}$ 4 = 8600 (l) Lượng dầu cửa hàng đã nhập về là: 8600 – 2150 = 6450 (l)
 Đáp số: 6450 l
Chọn đáp án:6450 l"
1093,"<s>[INST]Một cửa hàng có 360 kg gạo. Có $\frac{1}{4}$ số gạo đó là gạo tẻ. Cửa hàng đó có số gạo tẻ là:, các đáp án
90 kg
360 kg
1 440 kg
1 442 kg[/INST]</s>
Lời giải:Số gạo tẻ: ($\frac{1}{4}$)x 360 = 90kg
Chọn đáp án:90 kg"
1094,"<s>[INST]“Mẹ đi chợ mua 6 chai nước mắm. Mỗi chai đựng 2 l nước mắm. Hỏi mẹ đã mua bao nhiêu lít nước mắm?”. Phép tính đúng với bài toán là:, các đáp án
2 ${\times}$ 6 = 12
$6 + 2 = 8$
6 ${\times}$ 2 = 12
6 – 2 = 4[/INST]</s>
Lời giải:nan
Chọn đáp án:2 ${\times}$ 6 = 12"
1095,"<s>[INST]Một cửa hàng có 420 kg gạo. Cửa hàng đã bán đi 100 kg. Số gạo cửa hàng còn lại là:, các đáp án
230
230 kg
320
320kg[/INST]</s>
Lời giải:Số gạo cửa hàng còn lại: 420 -100 = 320
Chọn đáp án:320kg"
1096,"<s>[INST]Một cửa hàng có 5 hộp bi, mỗi hộp có 416 viên bi. Nếu họ chia đều số bi trong các hộp đó vào 4 túi thì mỗi túi có chứa số viên bi là:, các đáp án
2080 viên bi
520 viên bi
500 viên bi
2000 viên bi[/INST]</s>
Lời giải:Tổng số bi: 5 x 416 = 2080, Chia đều cho 4 túi, số bi mỗi túi: $\frac{2080}{4}$ = 520
Chọn đáp án:520 viên bi"
1097,"<s>[INST]Một cửa hàng có 5 thùng bánh, mỗi thùng có 2 hộp bánh, mỗi hộp bánh có 24 gói bánh. Nếu họ chia đều số bánh đó cho 8 nhà hàng thì mỗi nhà hàng có số gói bánh là:, các đáp án
31 gói bánh
32 gói bánh
30 gói bánh
34 gói bánh[/INST]</s>
Lời giải:nan
Chọn đáp án:30 gói bánh"
1098,"<s>[INST]Một cửa hàng có 50 bao gạo, mỗi bao nặng 15kg. Cửa hàng đã bán được $\frac{1}{5}$ số gạo đó. Số gạo cửa hàng còn lại là:, các đáp án
3000kg
600kg
750kg
150kg[/INST]</s>
Lời giải:Tổng số gạo: 50 ${\times}$ 15 = 750. Số gạo còn lại : 750 - ($\frac{1}{5}$) ${\times}$ 750 = 600
Chọn đáp án:600kg"
1099,"<s>[INST]Một cửa hàng có 85000 kg gạo, lần đầu bán được 23000 kg gạo, lần sau bán được 29000 kg gạo. Hỏi cửa hàng còn bao nhiêu ki-lô-gam gạo?, các đáp án
26 000 kg
33 000 kg
31 000 kg
52 000 kg[/INST]</s>
Lời giải:Cửa hàng còn lại: 85000 - 23000  - 29000 = 33000 kg
Chọn đáp án:33000 kg"
1100,"<s>[INST]Một cửa hàng điện máy có 16 chiếc ti vi. Cửa hàng đã bán đi 3 chiếc. Cửa hàng còn lại số chiếc ti vi là:, các đáp án
19 chiếc ti vi
13 chiếc ti vi
15 chiếc ti vi
14 chiếc ti vi[/INST]</s>
Lời giải:Số ti vi còn lại: 16 -3 = 13
Chọn đáp án:13 chiếc ti vi"
1101,"<s>[INST]Một cửa hàng ngày đầu tiên bán được 324 gói bánh, ngày thứ hai bán được 319 gói bánh. Hỏi sau hai ngày cửa hàng bán được bao nhiêu gói bánh, các đáp án
643 gói bánh
627 gói bánh
663 gói bánh
653 gói bánh[/INST]</s>
Lời giải:Số gói bánh bán được sau hai ngày: 324 + 319 = 643
Chọn đáp án:643 gói bánh"
1102,"<s>[INST]Một cửa hàng ngày thứ nhất bán được 27,46 mét vải. Ngày thứ hai bán được nhiều hơn ngày thứ nhất 36,25 mét vải. Trong ngày thứ hai, cửa hàng đã bán được số mét vải là:, các đáp án
65,46 mét vải
64,24 mét vải
66,17 mét vải
63,71 mét vải[/INST]</s>
Lời giải:Ngày thứ hai bán được nhiều hơn ngày thứ nhất 36,25 mét vải, Số met vải bán được trong ngày thứ hai: 27,46 + 36,25 = 63,71
Chọn đáp án:63,71 mét vải"
1103,"<s>[INST]Một cửa hàng ngày thứ nhất bán được 310 kg gạo, ngày thứ hai bán được số gạo ít hơn ngày thứ nhất 120 kg. Số gạo bán ngày thứ hai là:, các đáp án
190 kg gạo
180 kg gạo
290 kg gạo
209 kg gạo[/INST]</s>
Lời giải:nan
Chọn đáp án:190 kg gạo"
1104,"<s>[INST]Một cửa hàng nhận về 6 tấm vải, mỗi tấm dài 45m. Ngày đầu cửa hàng bán được 135m. Hỏi số vải còn lại bao nhiêu mét?, các đáp án
165m
145m
155m
135m[/INST]</s>
Lời giải:nan
Chọn đáp án:135m"
1105,"<s>[INST]“Mẹ mua 5 hộp bánh. Mỗi hộp bánh có 8 cái bánh. Hỏi mẹ đã mua bao nhiêu cái bánh?”. Phép tính đúng với bài toán là:, các đáp án
8 ${\times}$ 5 = 40
$5 + 8 = 13$
5 ${\times}$ 8 = 40
8 – 5 = 3[/INST]</s>
Lời giải:Mẹ đã mua số cái bánh là:8 ${\times}$ 5 = 40 (cái bánh)
 Vậy phép tính đúng với bài toán là: 8 ${\times}$ 5 = 40
Chọn đáp án:8 ${\times}$ 5 = 40"
1106,"<s>[INST]Một cửa hàng tạp hoá nhập về hai loại nước mắm, chai nhỏ chứa 0,45 lít, chai to chứa 0,75 lít. Cửa hàng nhập về 20 chai nhỏ và 15 chai to. Cửa hàng đã nhập về số lít nước mắm là:, các đáp án
20,25 lít
19,75 lít
21,75 lít
22,15 lít[/INST]</s>
Lời giải:nan
Chọn đáp án:20,25 lít"
1107,"<s>[INST]Một cửa hàng trong một tháng đã bán hết 17400 bút bi. Hỏi trong tháng đó cửa hàng đã bán được bao nhiêu tá bút bi? (mỗi tá gồm 12 cái), các đáp án
1350 tá
1400 tá
1450 tá
1440 tá[/INST]</s>
Lời giải:nan
Chọn đáp án:1450 tá"
1108,"<s>[INST]Một cửa hàng tuần thứ nhất bán được 62941 ki lô gam gạo. Tuần thứ hai họ bán được ít hơn tuần thứ nhất 20142 ki lô gam gạo. Số ki lô gam gạo cửa hàng đã bán được trong tuần thứ hai là:, các đáp án
42395kg
42957kg
42799kg
48294kg[/INST]</s>
Lời giải:nan
Chọn đáp án:42799kg"
1109,"<s>[INST]Một cửa hàng xăng dầu, buổi sáng họ bán được 3589 lít xăng. Buổi chiều họ bán được nhiều hơn buổi sáng 156 lít. Cả hai buổi, cửa hàng đó bán được số lít xăng là:, các đáp án
3745 lít xăng
7334 lít xăng
7490 lít xăng
7022 lít xăng[/INST]</s>
Lời giải:nan
Chọn đáp án:7334 lít xăng"
1110,"<s>[INST]Một đoàn tàu chở hàng gồm 9 toa, mỗi toa tàu chở 10720 kg hàng hóa. Vậy khối lượng hàng hóa đoàn tàu đó chở là:, các đáp án
96 380 kg
96 480 kg
90 820 kg
19 720 kg[/INST]</s>
Lời giải:khối lượng hàng hóa đoàn tàu đó chở bằng số tích của số toa và khối lượng mỗi toa bằng 9 $\times$ 10720 = 96480
Chọn đáp án:96480 kg"
1111,"<s>[INST]Một đội công nhân chuyển gạo vào 2 kho với thời gian chuyển vào kho thứ nhất là 5 giờ 15 phút. Thời gian chuyển gạo vào kho thứ hai nhanh gấp 3 lần so với kho thứ nhất. Hỏi đội công nhân chuyển gạo vào kho thứ hai mất bao lâu?, các đáp án
1 giờ 45 phút
2 giờ 5 phút
2 giờ 6 phút
2 giờ 10 phút[/INST]</s>
Lời giải:5 giờ 15 phút = 315 phút. Thời gian chuyển gạo ở kho thứ hai: $\frac{315}{3}$ = 105 phút = 1 giờ 45 phút
Chọn đáp án:1 giờ 45 phút"
1112,"<s>[INST]Một đội công nhân sửa xong một con đường trong ba ngày, trung bình mỗi ngày sửa được 525m. Ngày thứ nhất đội sửa được 372m đường, ngày thứ hai sửa được gấp 2 lần ngày thứ nhất. Hỏi ngày thứ ba đội đó sửa được bao nhiêu ki-lô-mét đường?, các đáp án
459m
460m
469m
470m[/INST]</s>
Lời giải:Tổng độ dài con đường: 525 x 3 = 1575. Ngày thứ ngày thứ ba đội đó sửa được: 1575 - 372 - 372 ${\times}$ 2 = 459m
Chọn đáp án:459m"
1113,"<s>[INST]Một đội văn nghệ có 50 học sinh, trong đó có 15 học sinh nam. Tỉ số phần trăm của số học sinh nam so với số học sinh đội văn nghệ là:, các đáp án
80%
30%
33,3%
125%[/INST]</s>
Lời giải:Tỉ số phần trăm của số học sinh nam so với số học sinh đội văn nghệ là: 15 : 50 = 0,3 ${\times}$ 100% = 30%
Chọn đáp án:30%"
1114,"<s>[INST]Một đội xe gồm 1 xe đi đầu chở 2500 kg vải thiều và 6 xe đi sau mỗi xe chở 1500 kg vải thiều. Vậy khối lượng vải thiều đội xe đó chở là:, các đáp án
9 000 kg
4 000 kg
10 000 kg
11 500kg[/INST]</s>
Lời giải:khối lượng vải thiều đội xe đó chở là: 2500 + 6  ${\times}$ ( 1500) = 11500 kg
Chọn đáp án:11500kg"
1115,"<s>[INST]66m266cm2 = … cm2
 Số thích hợp để viết vào chỗ chấm là:, các đáp án
6666
666 600
660 660
660 066[/INST]</s>
Lời giải:66m266cm2 = 660066cm2
Chọn đáp án:660066"
1116,"<s>[INST]“Một trăm hai mươi lăm mét vuông” được viết là:, các đáp án
125m2
125m
152m
152m2[/INST]</s>
Lời giải:nan
Chọn đáp án:125m2"
1117,"<s>[INST]Một đu quay quay 5 vòng hết 6 phút 20 giây. Vậy đu quay đó quay 8 vòng hết bao nhiêu lâu?, các đáp án
2 giờ 4 phút
2 giờ 5 phút
2 giờ 6 phút
2 giờ 8 phút[/INST]</s>
Lời giải:nan
Chọn đáp án:2 giờ 4 phút"
1118,"<s>[INST]Một hình bình hành có diện tích 192 cm2, chiều cao bằng 12 cm. Độ dài đáy tương ứng của hình bình hành là:, các đáp án
32 cm
16 cm
8 cm
64 cm[/INST]</s>
Lời giải:Độ dài đáy hình bình hành: $\frac{192}{12}$ = 16
Chọn đáp án:16 cm"
1119,"<s>[INST]Một hình bình hành có độ dày đáy bằng $\frac{3}{2}$ dm và chiều cao bằng $\frac{1}{2}$ độ dài đáy. Diện tích của hình bình hành là:, các đáp án
$\frac{9}{4}$ dm2
$\frac{9}{16}$ dm2
$\frac{9}{8}$ dm2
$\frac{3}{4}$ dm2[/INST]</s>
Lời giải:Diện tích hình bình hành bằng độ dài cạnh đáy nhân với chiều cao.
 Chiều cao của hình bình hành là: $\frac{3}{2}$ ${\times}$ $\frac{1}{2}$ = $\frac{3}{4}$ (dm)
 Diện tích hình bình hành đó là: $\frac{3}{2}$ ${\times}$ $\frac{3}{4}$ = $\frac{9}{8}$ (dm2)
 Đáp số: $\frac{9}{8}$ dm2.
Chọn đáp án:$\frac{9}{8}$ dm2"
1120,"<s>[INST]Một hình chữ nhật có chiều dài 24cm và diện tích bằng 384cm2. Chiều rộng của hình chữ nhật là:, các đáp án
16cm
14cm
2cm
10cm[/INST]</s>
Lời giải:Một hình chữ nhật có chiều dài 24cm và diện tích bằng 386cm2. Chiều rộng của hình chữ nhật là: $\frac{384}{24}$ = 16
Chọn đáp án:16cm"
1121,"<s>[INST]Một hình chữ nhật có chiều dài 25cm, chiều rộng 4cm. Chu vi hình chữ nhật là:
58 cm
29 cm
100 cm[/INST]</s>
Lời giải:Chu vi hình chữ nhật: 2 ${\times}$ (25 + 4) = 58 cm
chọn đáp án:58 cm"
1122,"<s>[INST]Một hình chữ nhật có chiều dài 2dm, chiều rộng 10cm. Diện tích hình chữ nhật là: 
24 cm2
20 cm2
200 cm2[/INST]</s>
Lời giải:2dm = 20cm. Diện tích hình chữ nhật : 20 ${\times}$ 10 = 200 cm2
chọn đáp án:200 cm2"
1123,"<s>[INST]Một hình chữ nhật có chiều dài bằng 10 cm, chu vi bằng 30 cm. Diện tích của hình chữ nhật đó là:, các đáp án
50 cm2
45 cm2
40 cm2
35 cm2[/INST]</s>
Lời giải:Nửa chu vi hình chữ nhật là: $\frac{30}{2}$ = 15 (cm)
 Chiều rộng hình chữ nhật là: 15 – 10 = 5 (cm)
 Diện tích hình chữ nhật là: 10 ${\times}$ 5 = 50 (cm2)
Chọn đáp án:50 cm2"
1124,"<s>[INST]Một hình chữ nhật có chiều dài là 8dm, chiều rộng là 4cm. Diện tích của hình chữ nhật đó là:, các đáp án
32 cm
32 cm 2
320 cm
320 cm 2[/INST]</s>
Lời giải:8dm = 80cm. Diên tích hình chữ nhật là: 80 ${\times}$ 4 = 320 cm
Chọn đáp án:320 cm 2"
1125,"<s>[INST]Một hình chữ nhật có chiều rộng 12cm và diện tích bằng 96cm2. Chiều dài của hình chữ nhật là:, các đáp án
0cm
8cm
12cm
14cm[/INST]</s>
Lời giải:Chiều dài hình chữ nhật: $\frac{96}{12}$ = 8 cm
Chọn đáp án:8cm"
1126,"<s>[INST]Một hình chữ nhật có chiều rộng 16,34 m, chiều dài hơn chiều rộng 8,32 m. Chu vi của hình chữ nhật là:, các đáp án
24,66 m
41 m
20,5 m
82 m[/INST]</s>
Lời giải:Chiều dài là: 16,34 + 8,32 = 24,66 . Chu vi hình chữ nhật: 2 ${\times}$ (16,34 + 24,66) = 82 m
Chọn đáp án:82 m"
1127,"<s>[INST]“Thể tích của hình lập phương có cạnh 1,2dm bằng …......dm3. ” Số cần điền vào chỗ chấm là:, các đáp án
1,44
1,728
8,64
5,76[/INST]</s>
Lời giải: Thế tích hình lập phương: 1,2 ${\times}$ 1,2 ${\times}$ 1,2 = 1,728 dm3
Chọn đáp án:1,728"
1128,"<s>[INST]Một hình chữ nhật có chiều rộng bằng 5 cm, chiều dài gấp 3 lần chiều rộng. Diện tích của hình chữ nhật đó là:, các đáp án
15 cm2
75 cm2
50 cm2
45 cm2[/INST]</s>
Lời giải:Chiều dài của hình chữ nhật là:
 5 ${\times}$ 3 = 15 (cm). Diện tích hình chữ nhật đó là 15 ${\times}$ 5 = 75 (cm2)
Chọn đáp án:75 cm2"
1129,"<s>[INST]Một hình chữ nhật có chiều rộng bằng 8 cm, chu vi bằng 40 cm. Diện tích của hình chữ nhật đó là:, các đáp án
96 cm2
80 cm2
72 cm2
64 cm2[/INST]</s>
Lời giải:Nửa chu vi hình chữ nhật là:$\frac{40}{2}$ = 20 (cm) 
 Chiều rộng hình chữ nhật là:20 – 8 = 12 (cm) 
 Diện tích hình chữ nhật là:12 ${\times}$ 8 = 96 (cm2)
Chọn đáp án:96 cm2"
1130,"<s>[INST]Một hình chữ nhật có chu vi 48 cm. Chiều dài hơn chiều rộng 4 cm. Diện tích của hình chữ nhật đó là:, các đáp án
160 cm2
120 cm2
280 cm2
140 cm2[/INST]</s>
Lời giải:Nửa chu vi hình chữ nhật là: 48: 2 = 24, Chiều dài + chiều rộng = Chiều rộng + 4 + chiều rộng = 2 ${\times}$ chiều rộng + 4 = 24. Vậy chiều rộng bằng: (24 -4) / 2 = 10cm, Chiều dài = chiều rộng + 4 = 10 + 4 = 14. Diện tích hình chữ nhật: 10 ${\times}$ 14 = 140 cm2
Chọn đáp án:120 cm2"
1131,"<s>[INST]Một hình chữ nhật có diện bằng 48 cm2 chiều dài bằng 8 cm. Vậy chu vi của hình chữ nhật đó là:, các đáp án
56 cm
28 cm
14 cm
40 cm[/INST]</s>
Lời giải:Chiều rộng của hình chữ nhật là:$\frac{48}{8}$ = 6 (cm) 
 Chu vi của hình chữ nhật đó là:(8 + 6) ${\times}$ 2 = 28 (cm) 
 Đáp số: 28 cm
Chọn đáp án:28 cm"
1132,"<s>[INST]Một hình chữ nhật có nửa chu vi bằng 18cm. Chiều dài bằng $\frac{5}{4}$ chiều rộng. Diện tích của hình chữ nhật đó là:, các đáp án
20 cm2
40 cm2
60 cm2
80 cm2[/INST]</s>
Lời giải:Chiều dài + chiều rộng  = $\frac{5}{4}$ Chiều rộng + Chiều rộng = $\frac{9}{4}$ Chiều rộng = 18. Vậy chiều rộng là: 18 ${\times}$ $\frac{4}{9}$ = 8, Chiều dài = 5 ${\times}$ $\frac{8}{4}$ = 10. Diện tích hình chữ nhật = Chiều dài x chiều rộng = 10 ${\times}$ 8 = 80cm2 
Chọn đáp án:80 cm2"
1133,"<s>[INST]Một hình hộp chữ nhật có chiều dài 5dm, chiều rộng là 3,5dm và chiều cao là 2dm. Diện tích xung quanh của hình hộp chữ nhật đó là:, các đáp án
13,5dm2
17dm2
35dm2
34dm2[/INST]</s>
Lời giải:nan
Chọn đáp án:34dm2"
1134,"<s>[INST]Một hình hộp chữ nhật có thể tích là 270 cm3; chiều dài 6 cm; chiều cao 9 cm. Chiều rộng của hình hộp chữ nhật đó là:, các đáp án
5 cm
9 cm
15 cm
30 cm[/INST]</s>
Lời giải:Chiều rộng hình hộp chữ nhật: $\frac{270}{6}$ / 9 = 5cm
Chọn đáp án:5 cm"
1135,"<s>[INST]Một hình hộp chữ nhật có thể tích là 400cm3, chiều dài 10cm, chiều rộng 8cm. Chiều cao của hình hộp chữ nhật là:, các đáp án
8cm
7cm
6cm
5cm[/INST]</s>
Lời giải:Chiều cao hình hộp chữ nhật: $\frac{400}{10}$ / 8 = 5cm
Chọn đáp án:5cm"
1136,"<s>[INST]Một hình lập phương có cạnh 2cm. Nếu gấp cạnh của hình lập phương lên 3 lần thì diện tích xung quanh và diện tích toàn phần tăng số lần lần lượt là:, các đáp án
3 lần, 3 lần
 lần, 9 lần
4 lần, 6 lần
9 lần, 9 lần[/INST]</s>
Lời giải:Diện tích xung quanh cạnh bằng 2 cm: 2 ${\times}$ 2 ${\times}$ 4 = 16, Diện tích toàn phần 2 ${\times}$ 2 ${\times}$ 6 = 24. Diện tích xung quanh khi cạnh gấp 3 lần: 6 ${\times}$ 6 ${\times}$ 4 = 144, Diện tích toàn phần khi cạnh gập 3 lần: 6 ${\times}$ 6 ${\times}$ 6 = 216, Ta có $\frac{144}{19}$ = 9, $\frac{216}{24}$ = 9 
Chọn đáp án:9 lần, 9 lần"
1137,"<s>[INST]Một hình lập phương có chu vi đáy là 28dm. Diện tích toàn phần của hình lập phương đó là:, các đáp án
96dm2
94dm2
136dm2
704dm2[/INST]</s>
Lời giải:nan
Chọn đáp án:94dm2"
1138,"<s>[INST]“Thể tích hình lập phương có cạnh 5cm bằng …..cm3.” Số thích hợp điền vào chỗ chấm là:, các đáp án
150
30
100
125[/INST]</s>
Lời giải:thể tích lập phương bằng: 5 ${\times}$ 5 ${\times}$ 5 = 125
Chọn đáp án:125"
1139,"<s>[INST]Một hình tam giác có cạnh đáy bằng 80cm, chiều cao bằng 60% cạnh đáy. Diện tích của tam giác đó bằng:, các đáp án
19,2 dm2
192 dm2
384 dm2
38,4 dm2[/INST]</s>
Lời giải:Chiều cao của hình tam giác đó là:80 ${\times}$ $\frac{60}{100}$ = 48 (cm). Diện tích của tam giác đó là:80 ${\times}$ $\frac{48}{2}$ = 1920 (cm2) Đổi: 1920 cm2 = 19,2 dm2 Đáp số: 19,2 dm2
Chọn đáp án:19,2 dm2"
1140,"<s>[INST]Một hình tam giác có chu vi là 24 cm, các cạnh của hình tam giác có độ dài bằng nhau. Độ dài mỗi cạnh của hình tam giác đó là:, các đáp án
8 dm
7 cm
80 mm
9 dm[/INST]</s>
Lời giải:Do 3 cạnh có chiều dài bằng nhau nên chiều dài mỗi cạnh là: $\frac{24}{3}$ = 8 cm. 8cm = 80mm
Chọn đáp án:80 mm"
1141,"<s>[INST]Một hình tam giác có diện tích 384 cm2, chiều cao 24 cm. Vậy cạnh đáy của hình tam giác đó là:, các đáp án
16 cm
32 cm
16 cm2
32 cm2[/INST]</s>
Lời giải:Cạnh đáy của hình tam giác đó là:
 2 ${\times}$ $\frac{384}{24}$ = 32 (cm) 
 Đáp số: 32 cm2
Chọn đáp án:32 cm"
1142,"<s>[INST]Một hình tam giác có diện tích 480cm2, độ dài đáy 12cm. Chiều cao của hình tam giác là:, các đáp án
15cm
40cm
80cm
30cm[/INST]</s>
Lời giải:Một hình tam giác có diện tích 480cm2, độ dài đáy 12cm. 
 Chiều cao của hình tam giác là:480 ${\times}$ $\frac{2}{12}$ = 80 (cm).
Chọn đáp án:80cm"
1143,"<s>[INST]Một hình tam giác có độ dài đáy bằng 12,6 cm. Chiều cao bằng $\frac{1}{2}$ độ dài đáy. Diện tích của tam giác đó là:, các đáp án
79,38 cm2
36,69 cm2
39,83 cm2
39,96 cm2[/INST]</s>
Lời giải:Chiều cao của tam giác là:12,$\frac{6}{2}$ = 6,3 (cm)
 Diện tích của tam giác đó là:(12,6 ${\times}$ 6,3) / 2 = 39,69 (cm2)
 Đáp số: 39,69 cm2.
Chọn đáp án:39,96 cm2"
1144,"<s>[INST]Một hình tam giác có độ dài đáy bằng 3,2 dm. Chiều cao tương ứng bằng $\frac{3}{4}$ độ dài đáy. Diện tích tam giác đó là:, các đáp án
2,4 dm2
7,68 dm2
3,84 dm2
7,68 dm2[/INST]</s>
Lời giải:Diện tích hình tam giác: ($\frac{1}{2}$) ${\times}$ ($\frac{3}{4}$) ${\times}$ 3,2 ${\times}$ 3,2  = 3,84 dm2
Chọn đáp án:3,84 dm2"
1145,"<s>[INST]Một hình thang có độ dài hai đáy lần lượt là 16 cm và 24 cm, chiều cao là 7,2 dm. Diện tích hình thang là:, các đáp án
288 cm2
882 cm2
414 cm2
144 cm2[/INST]</s>
Lời giải:nan
Chọn đáp án:144 cm2"
